Soal Pertanyaan,Label,Casefold,Tokenize,FreqDist,Stopwords,Stemmed
Politik Etis telah membawa kemajuan dalam bidang pendidikan mendorong tumbuhnya pergerakan nasional adalah gagasan dari ,C4,politik etis telah membawa kemajuan dalam bidang pendidikan mendorong tumbuhnya pergerakan nasional adalah gagasan dari ,"['politik', 'etis', 'telah', 'membawa', 'kemajuan', 'dalam', 'bidang', 'pendidikan', 'mendorong', 'tumbuhnya', 'pergerakan', 'nasional', 'adalah', 'gagasan', 'dari']",<FreqDist with 15 samples and 15 outcomes>,"['politik', 'etis', 'membawa', 'kemajuan', 'bidang', 'pendidikan', 'mendorong', 'tumbuhnya', 'pergerakan', 'nasional', 'gagasan']","['politik', 'etis', 'bawa', 'maju', 'bidang', 'didik', 'dorong', 'tumbuh', 'gera', 'nasional', 'gagas']"
"Proklamasi Kemerdekaan 17 Agustus 1945 dijelaskan dengan menguraikan berbagai aspek seperti sosial, ekonomi, dan politik dikenal dengan cara berfikir",C6,"proklamasi kemerdekaan 17 agustus 1945 dijelaskan dengan menguraikan berbagai aspek seperti sosial, ekonomi, dan politik dikenal dengan cara berfikir","['proklamasi', 'kemerdekaan', '17', 'agustus', '1945', 'dijelaskan', 'dengan', 'menguraikan', 'berbagai', 'aspek', 'seperti', 'sosial', 'ekonomi', 'dan', 'politik', 'dikenal', 'dengan', 'cara', 'berfikir']",<FreqDist with 18 samples and 19 outcomes>,"['proklamasi', 'kemerdekaan', '17', 'agustus', '1945', 'menguraikan', 'aspek', 'sosial', 'ekonomi', 'politik', 'dikenal', 'berfikir']","['proklamasi', 'merdeka', '17', 'agustus', '1945', 'urai', 'aspek', 'sosial', 'ekonomi', 'politik', 'kenal', 'berfikir']"
"Dampak pendudukan Jepang atas Indonesia, terutama bagi organisasi Pergerakan Nasional Indonesia, yaitu ",C5,"dampak pendudukan jepang atas indonesia, terutama bagi organisasi pergerakan nasional indonesia, yaitu ","['dampak', 'pendudukan', 'jepang', 'atas', 'indonesia', 'terutama', 'bagi', 'organisasi', 'pergerakan', 'nasional', 'indonesia', 'yaitu']",<FreqDist with 11 samples and 12 outcomes>,"['dampak', 'pendudukan', 'jepang', 'indonesia', 'organisasi', 'pergerakan', 'nasional', 'indonesia']","['dampak', 'duduk', 'jepang', 'indonesia', 'organisasi', 'gera', 'nasional', 'indonesia']"
Pernyataan kemerdekaan Amerika Serikat dituangkan dalam,C4,pernyataan kemerdekaan amerika serikat dituangkan dalam,"['pernyataan', 'kemerdekaan', 'amerika', 'serikat', 'dituangkan', 'dalam']",<FreqDist with 6 samples and 6 outcomes>,"['pernyataan', 'kemerdekaan', 'amerika', 'serikat', 'dituangkan']","['nyata', 'merdeka', 'amerika', 'serikat', 'tuang']"
"Setelah tahun 1943 Jepang melaksanakan politik lunak di Indonesia, sebab ",C4,"setelah tahun 1943 jepang melaksanakan politik lunak di indonesia, sebab ","['setelah', 'tahun', '1943', 'jepang', 'melaksanakan', 'politik', 'lunak', 'di', 'indonesia', 'sebab']",<FreqDist with 10 samples and 10 outcomes>,"['1943', 'jepang', 'melaksanakan', 'politik', 'lunak', 'indonesia']","['1943', 'jepang', 'laksana', 'politik', 'lunak', 'indonesia']"
Dampak dari proses modernisasi jepang di kawasan asia pasifik,C5,dampak dari proses modernisasi jepang di kawasan asia pasifik,"['dampak', 'dari', 'proses', 'modernisasi', 'jepang', 'di', 'kawasan', 'asia', 'pasifik']",<FreqDist with 9 samples and 9 outcomes>,"['dampak', 'proses', 'modernisasi', 'jepang', 'kawasan', 'asia', 'pasifik']","['dampak', 'proses', 'modernisasi', 'jepang', 'kawasan', 'asia', 'pasifik']"
Usaha kaum liberalisme menghendaki dihapusnya sistem tanam paksa di Indonesia itu pada hakikatnya merupakan,C5,usaha kaum liberalisme menghendaki dihapusnya sistem tanam paksa di indonesia itu pada hakikatnya merupakan,"['usaha', 'kaum', 'liberalisme', 'menghendaki', 'dihapusnya', 'sistem', 'tanam', 'paksa', 'di', 'indonesia', 'itu', 'pada', 'hakikatnya', 'merupakan']",<FreqDist with 14 samples and 14 outcomes>,"['usaha', 'kaum', 'liberalisme', 'dihapusnya', 'sistem', 'tanam', 'paksa', 'indonesia', 'hakikatnya']","['usaha', 'kaum', 'liberalisme', 'hapus', 'sistem', 'tanam', 'paksa', 'indonesia', 'hakikat']"
Pengaruh yang paling tepat yang mampu menggerakkan timbulnya nasionalisme Indonesia adalah ,C5,pengaruh yang paling tepat yang mampu menggerakkan timbulnya nasionalisme indonesia adalah ,"['pengaruh', 'yang', 'paling', 'tepat', 'yang', 'mampu', 'menggerakkan', 'timbulnya', 'nasionalisme', 'indonesia', 'adalah']",<FreqDist with 10 samples and 11 outcomes>,"['pengaruh', 'menggerakkan', 'timbulnya', 'nasionalisme', 'indonesia']","['pengaruh', 'gerak', 'timbul', 'nasionalisme', 'indonesia']"
Pikiran utama dari gagasan politik etis yang dianjurkan oleh Theodorus van Deventer pada akhir abad 19 adalah ,C6,pikiran utama dari gagasan politik etis yang dianjurkan oleh theodorus van deventer pada akhir abad 19 adalah ,"['pikiran', 'utama', 'dari', 'gagasan', 'politik', 'etis', 'yang', 'dianjurkan', 'oleh', 'theodorus', 'van', 'deventer', 'pada', 'akhir', 'abad', '19', 'adalah']",<FreqDist with 17 samples and 17 outcomes>,"['pikiran', 'utama', 'gagasan', 'politik', 'etis', 'dianjurkan', 'theodorus', 'van', 'deventer', 'abad', '19']","['pikir', 'utama', 'gagas', 'politik', 'etis', 'anjur', 'theodorus', 'van', 'deventer', 'abad', '19']"
Salah satu faktor luar negeri yang mempengaruhi kebangkitan nasionalisme di Indonesia ialah,C4,salah satu faktor luar negeri yang mempengaruhi kebangkitan nasionalisme di indonesia ialah,"['salah', 'satu', 'faktor', 'luar', 'negeri', 'yang', 'mempengaruhi', 'kebangkitan', 'nasionalisme', 'di', 'indonesia', 'ialah']",<FreqDist with 12 samples and 12 outcomes>,"['salah', 'faktor', 'negeri', 'mempengaruhi', 'kebangkitan', 'nasionalisme', 'indonesia']","['salah', 'faktor', 'negeri', 'pengaruh', 'bangkit', 'nasionalisme', 'indonesia']"
Jatuhnya konstantinopel ke tangan Islam Turki ikut mendorong berkembangnya penjelajahan samudera karena,C5,jatuhnya konstantinopel ke tangan islam turki ikut mendorong berkembangnya penjelajahan samudera karena,"['jatuhnya', 'konstantinopel', 'ke', 'tangan', 'islam', 'turki', 'ikut', 'mendorong', 'berkembangnya', 'penjelajahan', 'samudera', 'karena']",<FreqDist with 12 samples and 12 outcomes>,"['jatuhnya', 'konstantinopel', 'tangan', 'islam', 'turki', 'mendorong', 'berkembangnya', 'penjelajahan', 'samudera']","['jatuh', 'konstantinopel', 'tangan', 'islam', 'turki', 'dorong', 'kembang', 'jelajah', 'samudera']"
"Pada masa awal pendudukan Jepang di Indonesia, para tokoh pergerakan nasional bersikap kooperatif terhadap Jepang. Hal ini terbukti dengan dibentuknya organisasi Pusat Tenaga Rakyat (Putera) oleh Jepang yang diketuai oleh Ir. Soekarno. Jepang berharap organisasi tersebut dapat dijadikan alat untuk mendukung perang Jepang di Pasifik. Namun kenyataan sebaliknya, para tokoh memanfaatkan organisasi tersebut untuk ",C4,"pada masa awal pendudukan jepang di indonesia, para tokoh pergerakan nasional bersikap kooperatif terhadap jepang. hal ini terbukti dengan dibentuknya organisasi pusat tenaga rakyat (putera) oleh jepang yang diketuai oleh ir. soekarno. jepang berharap organisasi tersebut dapat dijadikan alat untuk mendukung perang jepang di pasifik. namun kenyataan sebaliknya, para tokoh memanfaatkan organisasi tersebut untuk ","['pada', 'masa', 'awal', 'pendudukan', 'jepang', 'di', 'indonesia', 'para', 'tokoh', 'pergerakan', 'nasional', 'bersikap', 'kooperatif', 'terhadap', 'jepang', 'hal', 'ini', 'terbukti', 'dengan', 'dibentuknya', 'organisasi', 'pusat', 'tenaga', 'rakyat', 'putera', 'oleh', 'jepang', 'yang', 'diketuai', 'oleh', 'ir', 'soekarno', 'jepang', 'berharap', 'organisasi', 'tersebut', 'dapat', 'dijadikan', 'alat', 'untuk', 'mendukung', 'perang', 'jepang', 'di', 'pasifik', 'namun', 'kenyataan', 'sebaliknya', 'para', 'tokoh', 'memanfaatkan', 'organisasi', 'tersebut', 'untuk']",<FreqDist with 42 samples and 54 outcomes>,"['pendudukan', 'jepang', 'indonesia', 'tokoh', 'pergerakan', 'nasional', 'bersikap', 'kooperatif', 'jepang', 'terbukti', 'dibentuknya', 'organisasi', 'pusat', 'tenaga', 'rakyat', 'putera', 'jepang', 'diketuai', 'ir', 'soekarno', 'jepang', 'berharap', 'organisasi', 'dijadikan', 'alat', 'mendukung', 'perang', 'jepang', 'pasifik', 'kenyataan', 'tokoh', 'memanfaatkan', 'organisasi']","['duduk', 'jepang', 'indonesia', 'tokoh', 'gera', 'nasional', 'sikap', 'kooperatif', 'jepang', 'bukti', 'bentuk', 'organisasi', 'pusat', 'tenaga', 'rakyat', 'putera', 'jepang', 'tuai', 'ir', 'soekarno', 'jepang', 'harap', 'organisasi', 'jadi', 'alat', 'dukung', 'perang', 'jepang', 'pasifik', 'nyata', 'tokoh', 'manfaat', 'organisasi']"
Perang salib atau perang suci antara orang-orang Eropa melawan Turki Seljuk dan orang-orang Arab membawa dampak bagi sejarah dunia yaitu ,C4,perang salib atau perang suci antara orang-orang eropa melawan turki seljuk dan orang-orang arab membawa dampak bagi sejarah dunia yaitu ,"['perang', 'salib', 'atau', 'perang', 'suci', 'antara', 'orangorang', 'eropa', 'melawan', 'turki', 'seljuk', 'dan', 'orangorang', 'arab', 'membawa', 'dampak', 'bagi', 'sejarah', 'dunia', 'yaitu']",<FreqDist with 18 samples and 20 outcomes>,"['perang', 'salib', 'perang', 'suci', 'orangorang', 'eropa', 'melawan', 'turki', 'seljuk', 'orangorang', 'arab', 'membawa', 'dampak', 'sejarah', 'dunia']","['perang', 'salib', 'perang', 'suci', 'orangorang', 'eropa', 'lawan', 'turki', 'seljuk', 'orangorang', 'arab', 'bawa', 'dampak', 'sejarah', 'dunia']"
Jatuhnya kota Konstantinopel ke tangan Turki Usmani membawa dampak ,C4,jatuhnya kota konstantinopel ke tangan turki usmani membawa dampak ,"['jatuhnya', 'kota', 'konstantinopel', 'ke', 'tangan', 'turki', 'usmani', 'membawa', 'dampak']",<FreqDist with 9 samples and 9 outcomes>,"['jatuhnya', 'kota', 'konstantinopel', 'tangan', 'turki', 'usmani', 'membawa', 'dampak']","['jatuh', 'kota', 'konstantinopel', 'tangan', 'turki', 'usmani', 'bawa', 'dampak']"
Pernyataan berikut yang sesuai dengan sikap Yogyakarta dalam hal Proklamasi kemerdekaan RI adalah ,C4,pernyataan berikut yang sesuai dengan sikap yogyakarta dalam hal proklamasi kemerdekaan ri adalah ,"['pernyataan', 'berikut', 'yang', 'sesuai', 'dengan', 'sikap', 'yogyakarta', 'dalam', 'hal', 'proklamasi', 'kemerdekaan', 'ri', 'adalah']",<FreqDist with 13 samples and 13 outcomes>,"['pernyataan', 'sesuai', 'sikap', 'yogyakarta', 'proklamasi', 'kemerdekaan', 'ri']","['nyata', 'sesuai', 'sikap', 'yogyakarta', 'proklamasi', 'merdeka', 'ri']"
"Perkembangan organisasi pergerakan nasional dibagi ke dalam 3 (tiga) periode yaitu periode awal, periode radikal dan periode moderat. Pada periode radikal, organisasi pergerakan yang muncul memiliki asas perjuangan yang bersifat nonkooperatif. Pernyataan berikut yang merupakan faktor umum yang mendorong lahirnya berbagai organisasi pergerakan yang bersifat nonkooperatif adalah",C4,"perkembangan organisasi pergerakan nasional dibagi ke dalam 3 (tiga) periode yaitu periode awal, periode radikal dan periode moderat. pada periode radikal, organisasi pergerakan yang muncul memiliki asas perjuangan yang bersifat nonkooperatif. pernyataan berikut yang merupakan faktor umum yang mendorong lahirnya berbagai organisasi pergerakan yang bersifat nonkooperatif adalah","['perkembangan', 'organisasi', 'pergerakan', 'nasional', 'dibagi', 'ke', 'dalam', '3', 'tiga', 'periode', 'yaitu', 'periode', 'awal', 'periode', 'radikal', 'dan', 'periode', 'moderat', 'pada', 'periode', 'radikal', 'organisasi', 'pergerakan', 'yang', 'muncul', 'memiliki', 'asas', 'perjuangan', 'yang', 'bersifat', 'nonkooperatif', 'pernyataan', 'berikut', 'yang', 'merupakan', 'faktor', 'umum', 'yang', 'mendorong', 'lahirnya', 'berbagai', 'organisasi', 'pergerakan', 'yang', 'bersifat', 'nonkooperatif', 'adalah']",<FreqDist with 32 samples and 47 outcomes>,"['perkembangan', 'organisasi', 'pergerakan', 'nasional', 'dibagi', '3', 'periode', 'periode', 'periode', 'radikal', 'periode', 'moderat', 'periode', 'radikal', 'organisasi', 'pergerakan', 'muncul', 'memiliki', 'asas', 'perjuangan', 'bersifat', 'nonkooperatif', 'pernyataan', 'faktor', 'mendorong', 'lahirnya', 'organisasi', 'pergerakan', 'bersifat', 'nonkooperatif']","['kembang', 'organisasi', 'gera', 'nasional', 'bagi', '3', 'periode', 'periode', 'periode', 'radikal', 'periode', 'moderat', 'periode', 'radikal', 'organisasi', 'gera', 'muncul', 'milik', 'asas', 'juang', 'sifat', 'nonkooperatif', 'nyata', 'faktor', 'dorong', 'lahir', 'organisasi', 'gera', 'sifat', 'nonkooperatif']"
Bangsa yang dapat disebut sebagai kolonisator pertama adalah Bangsa,C4,bangsa yang dapat disebut sebagai kolonisator pertama adalah bangsa,"['bangsa', 'yang', 'dapat', 'disebut', 'sebagai', 'kolonisator', 'pertama', 'adalah', 'bangsa']",<FreqDist with 8 samples and 9 outcomes>,"['bangsa', 'kolonisator', 'bangsa']","['bangsa', 'kolonisator', 'bangsa']"
"Perkembangan pers Indonesia pada awal abad 20 memberikan andil besar dalam pergerakan nasional. Dalam sejarah pergerakan nasional ada beberapa surat kabar yang sangat memengaruhi munculnya kesadaran berbangsa di Indonesia, seperti Bintang Hindia dan Medan Priyayi. Pers mempunyai peranan penting dalam perjuangan kebangsaan Indonesia, yaitu ",C5,"perkembangan pers indonesia pada awal abad 20 memberikan andil besar dalam pergerakan nasional. dalam sejarah pergerakan nasional ada beberapa surat kabar yang sangat memengaruhi munculnya kesadaran berbangsa di indonesia, seperti bintang hindia dan medan priyayi. pers mempunyai peranan penting dalam perjuangan kebangsaan indonesia, yaitu ","['perkembangan', 'pers', 'indonesia', 'pada', 'awal', 'abad', '20', 'memberikan', 'andil', 'besar', 'dalam', 'pergerakan', 'nasional', 'dalam', 'sejarah', 'pergerakan', 'nasional', 'ada', 'beberapa', 'surat', 'kabar', 'yang', 'sangat', 'memengaruhi', 'munculnya', 'kesadaran', 'berbangsa', 'di', 'indonesia', 'seperti', 'bintang', 'hindia', 'dan', 'medan', 'priyayi', 'pers', 'mempunyai', 'peranan', 'penting', 'dalam', 'perjuangan', 'kebangsaan', 'indonesia', 'yaitu']",<FreqDist with 37 samples and 44 outcomes>,"['perkembangan', 'pers', 'indonesia', 'abad', '20', 'andil', 'pergerakan', 'nasional', 'sejarah', 'pergerakan', 'nasional', 'surat', 'kabar', 'memengaruhi', 'munculnya', 'kesadaran', 'berbangsa', 'indonesia', 'bintang', 'hindia', 'medan', 'priyayi', 'pers', 'peranan', 'perjuangan', 'kebangsaan', 'indonesia']","['kembang', 'pers', 'indonesia', 'abad', '20', 'andil', 'gera', 'nasional', 'sejarah', 'gera', 'nasional', 'surat', 'kabar', 'pengaruh', 'muncul', 'sadar', 'bangsa', 'indonesia', 'bintang', 'hindia', 'medan', 'priyayi', 'pers', 'peran', 'juang', 'bangsa', 'indonesia']"
Faktor paling penting yang membuat Jepang memberikan kesempatan dalam mempersiapkan kemerdekaan RI melalui didirikannya BPUPKI adalah ,C5,faktor paling penting yang membuat jepang memberikan kesempatan dalam mempersiapkan kemerdekaan ri melalui didirikannya bpupki adalah ,"['faktor', 'paling', 'penting', 'yang', 'membuat', 'jepang', 'memberikan', 'kesempatan', 'dalam', 'mempersiapkan', 'kemerdekaan', 'ri', 'melalui', 'didirikannya', 'bpupki', 'adalah']",<FreqDist with 16 samples and 16 outcomes>,"['faktor', 'jepang', 'kesempatan', 'kemerdekaan', 'ri', 'didirikannya', 'bpupki']","['faktor', 'jepang', 'sempat', 'merdeka', 'ri', 'diri', 'bpupki']"
"Dampak adanya infiltrasi (penyusupan) dari tokoh-tokoh ISDV, Sarekat Islam (SI) pecah menjadi dua, yaitu SI Merah berpusat di Semarang, dan SI Putih berpusat di Yogyakarta. Perbedaan kedua SI tersebut, jika dilihat dari ideologi organisasi adalah
",C4,"dampak adanya infiltrasi (penyusupan) dari tokoh-tokoh isdv, sarekat islam (si) pecah menjadi dua, yaitu si merah berpusat di semarang, dan si putih berpusat di yogyakarta. perbedaan kedua si tersebut, jika dilihat dari ideologi organisasi adalah
","['dampak', 'adanya', 'infiltrasi', 'penyusupan', 'dari', 'tokohtokoh', 'isdv', 'sarekat', 'islam', 'si', 'pecah', 'menjadi', 'dua', 'yaitu', 'si', 'merah', 'berpusat', 'di', 'semarang', 'dan', 'si', 'putih', 'berpusat', 'di', 'yogyakarta', 'perbedaan', 'kedua', 'si', 'tersebut', 'jika', 'dilihat', 'dari', 'ideologi', 'organisasi', 'adalah']",<FreqDist with 29 samples and 35 outcomes>,"['dampak', 'infiltrasi', 'penyusupan', 'tokohtokoh', 'isdv', 'sarekat', 'islam', 'si', 'pecah', 'si', 'merah', 'berpusat', 'semarang', 'si', 'putih', 'berpusat', 'yogyakarta', 'perbedaan', 'si', 'ideologi', 'organisasi']","['dampak', 'infiltrasi', 'susup', 'tokohtokoh', 'isdv', 'sarekat', 'islam', 'si', 'pecah', 'si', 'merah', 'pusat', 'semarang', 'si', 'putih', 'pusat', 'yogyakarta', 'beda', 'si', 'ideologi', 'organisasi']"
