Soal Pertanyaan,Label
Pada tanggal 6 Agustus 1945 terjadi pemboman Hiroshima. Keadaan ini membuat Jepang merasa harus segera merealisasikan janji kemerdekaan Jepang. Salah satu upaya tersebut adalah dengan didirikannya PPKI dan dibubarkannya BPUPKI pada tanggal 7 Agustus 1945. Latar belakang dibubarkannya BPUPKI adalah,C4
Faktor utama yang menyebabkan terjadinya peristiwa Rengasdengklok adalah ,C4
"Pada tanggal 16 Agustus 1945, Soekarno dan Hatta (Bersama Fatmawati dan Guntur) diculik para pemuda ke Rengasdengklok. Penculikan tersebut dilakukan untuk menghindarkan pengaruh Jepang atas Soekarno dan Hatta. Peran Soebardjo dalam peristiwa Rengasdengklok adalah",C4
"Sukarni merupakan salah satu Tokoh Proklamator Kemerdekaan Indonesia. Gelar Pahlawan Nasional Indonesia Sukarni disematkan kepada Joko Widodo pada tanggal 7 November 2014 kepada perwakilan keluarga di Istana Negara Jakarta. Sukarni memiliki peran yang besar juga dalam proklamasi kemerdekaan, yaitu",C4
"Strategi pemerintah agar tidak mengundang aksi militer dari negara lain maka pada awal merdeka pemerintah membentuk Badan Keamanan Rakyat (BKR). Pembentukan tentara dianggap akan memprovokasi negara lain dan akan menimbulkan permusuhan. Dalam perkembanganya pembentukan tentara dianggap perlu karena
",C5
"Para pedagang dari Arab datang ke nusantara tidak hanya bertransaksi dengan pedagang pribumi, tetapi juga dengan pedagang Hindu dan Cina yang juga berdagang di Indonesia. Tujuan mereka sama yaitu mencari rempah-rempah yang pada saat itu menjadi komoditi utama yang sangat popular. Kedatangan pedagang Arab tersebut ditandai dengan ",C4
Berikut yang bukan faktor pendorong penjelajahan samudra oleh bangsa Eropa adalah,C4
Salah satu kota pusat perdagangan terkenal dan sangat ramai yang menjadi penghubung Dunia Barat dan Timur di Eropa adalah,C4
"Pada tahun 1453, Konstantinopel dikuasai Kesultanan Turki Utsmani (Ottoman). Dampak dikuasainya Konstantinopel oleh Kesultanan Turki Utsmani terhadap perdagangan rempah-rempah bangsa Eropa adalah ",C4
Perkembangan agama dan budaya Hindu-Buddha di Indonesia telah mengakibatkan terjadinya beberapa perubahan dalam kehidupan masyarakat Indonesia. Berikut ini yang merupakan perubahan kehidupan masyarakat setelah masuknya kebudayaan Hindu- Buddha di Indonesia dalam bidang budaya adalah ,C4
Tantangan kedatangan Cornelis de Houtman dari bangsa Eropa di Banten adalah ,C5
"Islam masuk ke Indonesia pada awalnya dibawa oleh para pedagang atau saudagar dari Arab, India, dan Persia. Kemudian pedagang tersebut berbaur dengan orang Jawa, Melayu, Sunda dan suku bangsa lainnya dan tinggal dan menetap di wilayah tersebut. Oleh karena itu maka masyarakat mudah menerima masuknya agama dan budaya Islam. Hal ini membuktikan Islam masuk ke Indonesia melalui",C6
"Ferdinand Magellan memimpin pelayaran bangsa Spanyol sejak tahun 1519. Dia mulai berlayar dari Sanlucar de Barrameda, Spanyol ke arah barat menuju bagian selatan Benua Amerika. Pada tahun 1520, Magellan mencapai Kepulauan Filipina. Namun, pada saat berlabuh di sana, nasib Magellan tidak beruntung, sehingga dia meninggal pada tahun 1521. Faktor penyebab meninggalnya Magellan adalah ",C5
Pengaruh budaya Hindu dari India menyebabkan Kutai yang semula merupakan kelompok masyarakat yang berbentuk suku berubah menjadi kerajaan. Namun demikian pada masa raja Kudungga dianggap belum mendapat pengaruh budaya dari India. Hal ini didasarkan atas ,C4
"Diketahui bahwa Situs Manusia Purba Sangiran telah ditetapkan oleh UNESCO sebagai warisan budaya dunia, tentu ini sangat membanggakan bangsa Indonesia. Pengakuan tersebut tentu didasari berbagai pertimbangan yang kompleks, yaitu",C6
"Menurut anda jika seluruh lingkungan, mulai dari yang terdekat misal gedung sekolah, rumah tempat kamu tinggal serta perabot dan peralatan yang membantu dalam bekerja ada yang membuatnya, maka bagaimana dengan makhluk hidup, alam semesta angkasa raya bumi dan seisinya ini",C6
